1,Grupa TNT
2,Šuplji zub
3,Operacija Frankenštajn
4,Kuća duhova
5,Daj! Daj! Daj!
6,Traži se Alex Barry
7,Ucviljeni diktator
8,Zimska idila
9,ZOO simfonija
10,Formule
11,Broj jedan
12,Žalosna priča o mladom bogatašu
13,Golf
14,"1,2,3,4"
15,Udar munje 
16,(Ne) glasajte za Notaxa
17,Ljekovita voda
18,Pas za milijun dolara
19,Trojica iz Yume
20,Frit i Frut
21,Čuvaj se bombe
22,U strahu su velike oči
23,San jedne zimske noći
24,U potrazi za bombom
25,Skok na skok
26,Superhik
27,"Superhik, alkohol prijeti"
28,"Superhik, razbijena boca"
29,Cirkus
30,Bradati pljačkaši 
31,Dan vještica
32,"Kad srce radi bi-bim, ba-bam"
33,Pljačkaš
34,Vesela dolina
35,Dvanaest umjetnika
36,Centurion
37,Pukovnik Kattycat
38,Godišnji odmor
39,Dobra stara vremena
40,Ekologija
41,Slatka afera
42,Vrijeme darivanja
43,Novogodišnja proslava
44,Bila jednom nagrada
45,Klavirski koncert
46,Sve ili metak
47,Neprijatelj prirode broj jedan
48,Umro je bogati ujak
49,Derbi
50,Tako je nastala grupa TNT
51,Povratak Superhika
52,Superhikov veliki pothvat
53,Arsen Lupiga
54,Nestao je Bubu
55,Stupica za grupu TNT
56,Poziv na krstarenje
57,Spašavaj se tko može
58,Skok u prazno
59,Gužva u Monte Kablu
60,Udar
61,Krokodilska glava
62,Tri brata Rock
63,"Isto, isto"
64,Trio fantastikus
65,Udarac s boka (Luda trka)
66,Sumnjiv posao
67,Besplatni podvig
68,Sportska afera
69,Iznenadna ideja
70,U kolo s otmičarem
71,Susret s vampirom
72,Vampiri u New Yorku
73,Doktor Rakar
74,Superhik opet napada
75,Odlazak Superhika
76,Sjećam se ...
77,Podružnica
78,Veliki zadatak
79,Potraga za sinom
80,Nijagara
81,Bijeg Arsena Lupige
82,Putovanje raketom
83,Najcrnja kronika
84,Narednik Gruber
85,Veliki biznis
86,Hladni pol
87,Odluka u pravi čas
88,Beppa Joseph se vraća
89,Dobročinitelj
90,Bombaš
91,Pop art
92,Krck Fu
93,Ponovo Baby Kate
94,Piroman
95,Mjesec zove Skylab
